Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
International Journal of Geoheritage and Parks,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.2,0.915,KeAi Communications Co.,Social Sciences (miscellaneous)
International Journal of Human Computer Studies,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.5,1.134,Elsevier,Education
International Journal of Information and Learning Technology,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.5,1.055,Emerald Publishing,Education
International Journal of Management Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.9,1.791,Elsevier,Education
International Journal of Press/Politics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.3,2.858,SAGE,Sociology and Political Science
International Journal of Public Sector Management,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.4,0.659,Emerald Publishing,Political Science and International Relations
International Journal of Qualitative Methods,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.931,SAGE,Education
International Journal of STEM Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,19.8,3.316,Springer Nature,Education
International Journal of Social Research Methodology: Theory and Practice,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.2,1.417,Taylor & Francis,General Social Sciences
International Journal of Sustainability in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.8,1.014,Emerald Publishing,Education
International Journal of Sustainable Development and World Ecology,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,16.7,1.298,Taylor & Francis,"Geography, Planning and Development"
International Journal of Sustainable Transportation,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.7,1.117,Taylor & Francis,"Geography, Planning and Development"
International Journal of Technology and Design Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.4,1.212,Springer Nature,Education
International Journal of Tourism Cities,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.6,0.591,Taylor & Francis,"Geography, Planning and Development"
